TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
13:26:24.928 kworker        2481907 nvme1n1 W    1130045784 8192      0.063
13:26:25.198 nvme           2489775 Unknown N    -1         512       0.036
13:26:25.803 python3        2290923 nvme1n1 WS   1160638464 131072    0.219
13:26:25.803 python3        2290923 nvme1n1 WS   1160638720 131072    0.242
13:26:25.803 python3        2290923 nvme1n1 WS   1160638976 131072    0.323
13:26:25.803 python3        2290923 nvme1n1 WS   1160639232 131072    0.444
13:26:25.803 python3        2290923 nvme1n1 WS   1160642560 131072    0.494
13:26:25.804 python3        2290923 nvme1n1 WS   1160642816 131072    0.570
13:26:25.804 python3        2290923 nvme1n1 WS   1160643072 131072    0.658
13:26:25.804 python3        2290923 nvme1n1 WS   1160643328 131072    0.711
13:26:25.804 python3        2290923 nvme1n1 WS   1160643584 131072    0.789
13:26:25.804 python3        2290923 nvme1n1 WS   1160639488 131072    0.892
13:26:25.804 python3        2290923 nvme1n1 WS   1160639744 131072    0.974
13:26:25.804 python3        2290923 nvme1n1 WS   1160640000 131072    1.050
13:26:25.804 python3        2290921 nvme1n1 WS   1160646656 131072    1.141
13:26:25.804 python3        2290921 nvme1n1 WS   1160646912 131072    1.225
13:26:25.804 python3        2290923 nvme1n1 WS   1160643840 131072    1.295
13:26:25.804 python3        2290923 nvme1n1 WS   1160644096 131072    1.367
13:26:25.804 python3        2290921 nvme1n1 WS   1160647168 131072    1.456
13:26:25.805 python3        2290921 nvme1n1 WS   1160647424 131072    1.529
13:26:25.805 python3        2290921 nvme1n1 WS   1160647680 131072    1.607
13:26:25.805 python3        2290921 nvme1n1 WS   1160647936 131072    1.690
13:26:25.805 python3        2290921 nvme1n1 WS   1160648192 131072    1.770
13:26:25.805 python3        2290923 nvme1n1 WS   1160640256 131072    1.857
13:26:25.805 python3        2290923 nvme1n1 WS   1160640512 131072    1.933
13:26:25.805 python3        2290923 nvme1n1 WS   1160640768 131072    2.018
13:26:25.805 python3        2290923 nvme1n1 WS   1160641024 131072    2.092
13:26:25.805 python3        2290923 nvme1n1 WS   1160641280 131072    2.173
13:26:25.805 python3        2290923 nvme1n1 WS   1160641536 131072    2.255
13:26:25.805 python3        2290923 nvme1n1 WS   1160644352 131072    2.339
13:26:25.805 python3        2290923 nvme1n1 WS   1160644608 131072    2.402
13:26:25.806 python3        2290923 nvme1n1 WS   1160644864 131072    2.478
13:26:25.806 python3        2290923 nvme1n1 WS   1160645120 131072    2.557
13:26:25.806 python3        2290923 nvme1n1 WS   1160645376 131072    2.626
13:26:25.806 python3        2290923 nvme1n1 WS   1160645632 131072    2.703
13:26:25.806 python3        2290923 nvme1n1 WS   1160645888 131072    2.775
13:26:25.806 python3        2290923 nvme1n1 WS   1160641792 131072    2.870
13:26:25.806 python3        2290923 nvme1n1 WS   1160642048 131072    2.939
13:26:25.806 python3        2290921 nvme1n1 WS   1160648448 131072    3.018
13:26:25.806 python3        2290921 nvme1n1 WS   1160648704 131072    3.093
13:26:25.806 python3        2290921 nvme1n1 WS   1160648960 131072    3.170
13:26:25.806 python3        2290921 nvme1n1 WS   1160649216 131072    3.244
13:26:25.806 python3        2290923 nvme1n1 WS   1160646144 131072    3.320
13:26:25.806 python3        2290921 nvme1n1 WS   1160649472 131072    3.394
13:26:25.807 python3        2290921 nvme1n1 WS   1160649728 131072    3.469
13:26:25.807 python3        2290921 nvme1n1 WS   1160649984 131072    3.543
13:26:25.807 python3        2290921 nvme1n1 WS   1160650240 131072    3.619
13:26:25.807 python3        2290923 nvme1n1 WS   1160642304 131072    3.703
13:26:25.807 python3        2290923 nvme1n1 WS   1160650752 131072    3.772
13:26:25.807 python3        2290923 nvme1n1 WS   1160651008 131072    3.849
